address,price,lease_type,building_type,lease_start_date
"308 Lester St. Unit 522, Waterloo, ON N2L 0H9, Canada","2,000.00",12 months,Apartment,2025-08-30
"Camille Cresent, Waterloo, ON N2K 3B7, Canada","3,400.00",12 months,Townhouse,2025-09-01
"327 Spruce Street, Waterloo, ON N2L 3M6, Canada",695.00 - 795.00,12 months,Apartment/Condo,2025-05-01
"422 Gatestone Blvd., Waterloo, ON N2T 2J3, Canada",630.00,4 months,Townhouse,2025-05-01
"459 Hazel Street,, Waterloo, ON N2L 3P7, Canada",925.00,12 months,Townhouse,2025-09-01
"Keats way place, Waterloo, ON N2L 5H3, Canada",750.00,Co-op terms,Townhouse,2025-05-01
"345 Spruce St, Waterloo, ON N2L 3M6, Canada",$795.00 - $865.00,12 months,Apartment/Condo,2025-09-01
"Independence Ave, Mississauga, ON L4Z 2T4, Canada",850.00,Co-op terms,Townhouse,2025-05-01
"195 Erb St. W. Waterloo ON N2L 1V6, Waterloo, ON N2L 1V6, Canada",875.00,12 months,Apartment/Condo,2025-09-01
"318 Lester St, Waterloo, ON N2L 3W7, Canada",$770.00 - $920.00,12 months,Apartment/Condo,2025-09-01
"Please Contact for Address, North York, ON M2N 1J4, Canada","700.00 - 1,000.00",Co-op terms,Townhouse,Contact for more details
"54 Spruce street, Cambridge, ON N1R 4K1, Canada","1,500.00",12 months,Apartment,2025-06-01
"78 waterloo st., Kitchener, ON N2H 3V4, Canada","1,250.00",12 months,,Immediately
"52 Westwood Dr, Kitchener, ON N2M 2K4, Canada","1,795.00",12 months,Apartment,2025-05-01
"Valhalla Crescent, Waterloo, ON N2T 2J7, Canada","1,000.00 - 2,000.00",12 months,Apartment,Immediately
"182 Erb Street West, Waterloo, ON N2L 1V3, Canada",650.00 - 680.00,12 months,Townhouse,2025-09-01
"182 Erb Street West, Waterloo, ON N2L 1V3, Canada",695.00,12 months,Townhouse,2025-09-01
"15-12 Bridgeport Rd East, Waterloo, ON N2J 2J3, Canada",740.00,12 months,,2025-06-01
"19 - 55 Mooregate Cres, Kitchener, ON N2M 0A6, Canada",$900.00,4 months,Apartment/Condo,2025-05-01
"165 Lynnbrook Crescent, Waterloo, ON N2L 4X2, Canada",600.00 - 700.00,12 months,Townhouse,2025-05-01
"144 Bridgeport Rd. E, Waterloo, ON N2J 2K4, Canada",750.00 - 875.00,12 months,Townhouse,Immediately
"273 Lester Street, Waterloo, ON N2L 3W6, Canada",804.00,4 months,Apartment/Condo,2025-05-05
"229 Shakespeare Dr, Waterloo, ON N2L 2T5, Canada",900.00,Month to month,Townhouse,Contact for more details
"Ahrens Street West, Kitchener, ON N2H 4E1, Canada","1,900.00",12 months,Apartment,2025-06-01
